ID,Severity,Weather_Condition,Sunrise_Sunset,start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal
A-1233009,3,Fair,Day,16,12,4,59.53333333333333,0.0,62.0,10.0,0,0,0,0,0,0,0
A-1261879,2,Mostly Cloudy,Day,16,11,2,62.13333333333333,0.0,63.0,10.0,0,0,1,0,0,0,1
A-1257450,2,Partly Cloudy,Day,15,11,4,30.1,0.0,81.0,10.0,0,0,0,0,0,0,1
A-1243089,3,Fair,Day,7,12,2,68.53333333333333,0.0,52.0,10.0,0,0,0,0,0,0,0
A-1286286,3,Fair,Day,9,11,0,89.58333333333333,0.0,70.0,10.0,0,0,0,0,0,0,0
A-1281338,2,Fair,Day,8,11,2,59.766666666666666,0.0,44.0,10.0,0,0,0,0,0,1,0
A-1232713,3,Fair,Day,13,12,4,44.28333333333333,0.0,62.0,10.0,0,0,0,0,0,0,0
A-1287220,2,Partly Cloudy / Windy,Day,16,10,5,55.85,0.0,52.0,10.0,0,0,0,0,0,0,0
A-1217730,2,Cloudy,Night,18,12,2,46.18333333333333,0.0,59.0,10.0,0,0,0,0,0,0,0
A-1300339,2,Cloudy,Day,16,9,2,89.66666666666667,0.0,70.0,10.0,0,0,0,0,0,0,0
A-1227206,3,Fair,Night,6,12,2,87.9,0.0,36.0,10.0,0,0,0,0,0,0,0
A-1252999,2,Fair,Day,8,11,1,29.783333333333335,0.0,54.0,10.0,0,0,0,0,0,0,0
A-1272725,2,Fair,Day,7,11,1,59.75,0.0,50.0,10.0,0,0,0,0,0,0,0
A-1297317,2,Partly Cloudy,Day,16,9,0,76.11666666666666,0.0,72.0,10.0,0,0,0,0,0,0,0
A-1262500,2,Fair,Night,17,11,1,63.43333333333333,0.0,52.0,10.0,0,0,1,0,0,0,1
A-1264337,2,Fair,Day,9,11,0,90.66666666666667,0.0,53.0,10.0,0,0,0,0,0,0,0
A-1304944,2,Mostly Cloudy,Day,9,9,4,99.43333333333334,0.0,80.0,10.0,0,0,1,0,0,0,1
A-1236110,2,Partly Cloudy,Night,17,12,2,60.6,0.0,53.0,10.0,0,0,0,0,0,0,1
A-1295470,2,Mostly Cloudy,Night,21,9,4,59.75,0.0,79.0,10.0,0,0,0,0,0,0,1
A-1218902,3,Fair,Night,21,12,1,29.166666666666668,0.0,42.0,10.0,0,0,0,0,0,0,0
A-1257505,2,Fair,Day,8,11,4,59.15,0.0,41.0,10.0,0,0,0,0,0,0,0
A-1237064,2,Fair,Day,8,12,2,44.833333333333336,0.0,64.0,10.0,0,0,1,0,0,0,1
A-1304277,2,Cloudy,Night,5,9,4,59.4,0.0,70.0,10.0,0,0,0,0,0,0,0
A-1273737,3,Light Rain,Night,17,11,1,74.76666666666667,0.0,70.0,10.0,0,0,0,0,0,0,0
A-1218445,2,Fair,Day,7,12,1,59.766666666666666,0.0,41.0,10.0,0,0,1,0,0,0,1
A-1280895,2,Fair,Day,6,11,3,59.71666666666667,0.0,43.0,9.0,0,0,0,0,0,0,0
A-1250049,2,Light Rain,Night,19,11,3,44.05,0.0,66.0,10.0,0,0,0,0,0,0,0
A-1294480,2,Cloudy,Day,9,9,4,89.46666666666667,0.0,75.0,10.0,0,0,0,0,0,0,0
A-1261634,2,Haze,Night,18,11,2,67.5,0.0,75.0,4.0,0,0,0,0,0,0,0
A-1278778,2,Fair,Night,19,11,4,58.766666666666666,1.649999976158142,67.0,10.0,0,0,0,0,0,0,0
A-1230731,2,Light Rain,Day,9,12,0,59.71666666666667,0.0,39.0,8.0,0,0,0,0,0,0,0
A-1216097,3,Fair,Day,14,12,3,116.2,0.0,56.0,10.0,0,0,0,0,0,0,1
A-1210053,3,Light Drizzle,Night,19,12,2,62.03333333333333,0.0,40.0,5.0,0,0,0,0,0,0,0
A-1254719,2,Fair,Day,7,11,0,59.05,0.0,56.0,10.0,0,0,0,0,0,0,0
A-1268420,3,Mostly Cloudy,Night,19,11,4,91.51666666666667,0.0,57.0,10.0,0,0,0,0,0,0,0
A-1287386,3,Fair,Day,7,10,5,88.38333333333334,0.0,44.0,10.0,0,0,0,0,0,0,0
A-1241030,3,Fair,Day,10,12,6,44.75,0.0,63.0,10.0,0,0,0,0,0,0,0
A-1211649,2,Fair,Night,20,12,1,59.85,0.0,48.0,10.0,0,0,0,0,0,0,0
A-1251888,3,Partly Cloudy,Day,14,11,2,75.45,0.0,45.0,10.0,0,0,0,0,0,0,0
A-1210411,3,Fair,Day,14,12,2,74.46666666666667,0.0,35.0,10.0,0,0,0,0,0,0,0
A-1254578,2,Fair,Night,17,11,0,111.18333333333334,0.0,74.0,10.0,0,0,0,0,0,0,0
A-1237760,2,Fair,Night,17,12,1,60.78333333333333,0.0,40.0,10.0,0,0,0,1,0,0,0
A-1231870,3,Cloudy,Night,20,12,5,62.96666666666667,0.5,71.0,10.0,0,0,0,0,0,0,0
A-1228623,2,Fair,Night,17,12,1,29.55,0.0,24.0,10.0,0,0,0,0,0,0,0
A-1235871,2,Partly Cloudy,Day,7,12,2,81.55,0.0,31.0,10.0,0,0,0,0,0,0,0
A-1222089,3,Cloudy,Night,18,12,5,60.61666666666667,0.0,39.0,7.0,0,0,0,0,0,0,0
A-1291127,2,Fair,Day,13,9,2,29.466666666666665,0.0,76.0,10.0,0,0,0,0,0,0,0
A-1221840,3,Fair,Day,15,12,5,124.9,0.0,31.0,10.0,0,0,0,0,0,0,0
A-1290889,3,Cloudy,Day,12,9,1,29.15,0.3400000035762787,75.0,10.0,0,0,0,0,0,0,0
A-1253739,2,Fair,Night,17,11,1,65.56666666666666,0.0,64.0,10.0,0,0,0,0,0,0,1
A-1262314,3,Fair,Day,8,11,1,78.56666666666666,8.9399995803833,48.0,10.0,0,0,0,0,0,0,0
A-1237237,2,Fair,Day,16,12,2,45.43333333333333,0.0,62.0,9.0,0,0,0,0,0,0,0
A-1251076,2,Cloudy,Night,4,11,2,59.016666666666666,0.0,45.0,10.0,0,0,0,0,0,0,0
A-1221277,3,Fair,Day,9,12,0,74.28333333333333,0.0,75.0,10.0,0,0,0,0,0,0,0
A-1307688,2,Fair,Day,15,9,0,89.78333333333333,0.0,73.0,10.0,0,0,0,0,0,0,0
A-1297494,4,Fair,Day,18,9,0,307.1166666666667,6.329999923706055,71.0,10.0,0,0,0,0,0,0,0
A-1303174,2,Fair,Day,8,9,3,29.716666666666665,0.0,76.0,10.0,0,0,0,0,0,0,0
A-1236538,2,Fair,Night,18,12,2,59.666666666666664,0.0,45.0,10.0,0,0,0,0,0,0,0
A-1299087,3,Partly Cloudy,Night,6,9,1,63.483333333333334,0.0,65.0,7.0,0,0,0,0,0,0,0
A-1211198,2,Fair,Day,11,12,1,29.266666666666666,0.0,28.0,10.0,0,0,0,0,0,0,0
A-1265321,2,Fair,Day,15,11,0,29.483333333333334,0.0,71.0,10.0,0,0,0,0,0,0,0
A-1250711,2,Light Rain,Night,6,11,2,29.533333333333335,0.0,45.0,7.0,0,0,0,0,0,0,0
A-1302218,2,Light Rain,Day,10,9,3,29.65,0.0,70.0,8.0,0,0,0,0,0,0,0
A-1225314,3,Cloudy,Day,7,12,3,45.7,0.0,39.0,10.0,1,0,0,0,0,0,0
A-1237816,2,Fair,Day,17,12,1,78.71666666666667,0.0,60.0,10.0,0,0,1,0,0,0,1
A-1265591,3,Fair,Night,20,11,6,45.016666666666666,0.0,55.0,10.0,0,0,0,0,0,0,0
A-1289738,2,Mostly Cloudy,Night,4,9,1,29.0,0.0,76.0,10.0,0,0,0,1,0,0,0
A-1231702,2,Light Rain,Day,11,12,5,126.36666666666666,0.0,44.0,1.0,0,0,0,0,0,0,0
A-1265133,2,Fair,Night,17,11,0,61.68333333333333,0.0,77.0,10.0,0,0,0,0,0,0,0
A-1254185,2,Cloudy,Night,6,11,0,29.85,0.0,53.0,10.0,0,0,1,0,0,0,1
A-1216588,3,Light Rain,Day,11,12,3,122.35,0.0,60.0,10.0,0,0,0,0,1,0,0
A-1298161,2,Fair,Day,16,9,0,45.13333333333333,0.0,91.0,10.0,0,0,0,0,0,0,0
A-1226890,3,Light Snow,Night,6,12,2,79.75,0.0,30.0,9.0,0,0,0,0,0,0,0
A-1221583,3,Fog,Day,7,12,6,37.7,0.0,32.0,0.25,0,0,0,0,0,0,0
A-1260143,3,Fair,Night,17,11,3,77.55,0.0,54.0,10.0,0,0,0,0,0,0,0
A-1232037,3,Cloudy,Night,18,12,5,60.4,0.0,34.0,10.0,0,0,0,0,0,0,0
A-1288417,3,Fair,Day,18,9,0,80.25,0.0,81.0,10.0,0,0,0,0,0,0,0
A-1264129,2,Fair,Day,16,11,0,61.35,0.0,59.0,10.0,0,0,0,0,0,0,0
A-1213359,2,Fair,Night,17,12,0,74.76666666666667,0.0,52.0,10.0,0,0,1,0,0,0,1
A-1287264,3,Fair,Day,14,10,5,45.13333333333333,0.0,58.0,10.0,0,0,0,0,0,0,0
A-1262954,3,Fair,Day,11,11,1,105.26666666666667,0.0,39.0,10.0,0,0,0,0,0,0,1
A-1214251,3,Light Rain,Night,21,12,5,114.01666666666667,0.0,43.0,10.0,0,0,0,0,1,0,0
A-1221067,2,Light Rain,Day,10,12,0,44.766666666666666,0.0,48.0,5.0,0,0,0,0,0,0,0
A-1304083,2,Cloudy,Day,14,9,4,49.71666666666667,0.0,72.0,10.0,0,0,0,0,0,0,1
A-1247427,2,Fair,Day,15,11,0,83.11666666666666,0.0,62.0,10.0,0,0,0,1,0,0,0
A-1298001,2,Fair,Night,20,9,0,89.73333333333333,0.0,69.0,10.0,0,0,0,0,0,0,0
A-1290781,2,Smoke / Windy,Day,13,9,1,95.1,0.0,93.0,2.0,0,0,0,0,0,0,0
A-1284678,2,Fair,Day,8,11,0,118.7,0.1599999964237213,42.0,10.0,0,0,0,0,0,0,0
A-1301574,2,Haze,Day,11,9,2,59.78333333333333,0.0,64.0,2.0,0,0,0,0,0,0,0
A-1281544,2,Fair,Night,17,11,2,61.86666666666667,0.0,55.0,10.0,0,0,0,0,0,0,0
A-1232769,2,Partly Cloudy,Night,17,12,4,74.56666666666666,0.0,57.0,10.0,0,0,0,0,0,0,1
A-1229962,2,Fair,Day,9,12,0,29.75,0.0,79.0,10.0,0,0,1,0,0,0,1
A-1233725,2,Cloudy,Day,17,12,4,108.05,0.0,63.0,10.0,1,0,1,0,0,0,1
A-1239302,2,Light Snow,Night,6,12,0,182.55,0.0,35.0,6.0,0,0,0,0,0,0,0
A-1256819,3,Fair,Day,16,11,5,90.83333333333333,0.0,67.0,10.0,0,0,0,0,1,0,0
A-1258640,2,Fair,Night,19,11,4,90.51666666666667,0.0,60.0,10.0,0,0,0,0,0,0,0
A-1237218,2,Fair,Night,20,12,2,29.066666666666666,0.0,46.0,5.0,0,0,0,0,0,0,0
A-1211493,2,Fair,Night,17,12,1,89.75,0.0,45.0,10.0,0,0,0,0,0,0,1
A-1214720,2,Fair,Day,14,12,5,100.53333333333333,0.0,61.0,10.0,0,0,0,0,0,0,0
A-1294296,2,Fair,Day,14,9,3,89.6,0.0,85.0,9.0,0,0,0,0,0,0,0
A-1292415,2,Cloudy,Day,10,9,3,59.45,0.0,75.0,10.0,0,0,0,0,0,0,0
A-1249225,2,Fair,Day,13,11,4,232.51666666666668,0.0,53.0,10.0,0,0,0,0,0,0,1
A-1238912,3,Mostly Cloudy,Night,18,12,1,28.6,0.0,66.0,8.0,0,0,0,0,0,0,0
A-1218121,2,Haze,Day,13,12,2,56.46666666666667,0.0,56.0,6.0,0,0,0,0,0,0,0
A-1235158,2,Fair,Night,18,12,3,29.266666666666666,0.0,62.0,10.0,0,0,0,0,0,0,1
A-1297166,2,Smoke,Day,11,9,6,62.36666666666667,0.0,72.0,4.0,0,0,0,0,0,0,0
A-1284884,3,Fair,Night,18,11,0,78.8,0.0,46.0,10.0,0,0,0,0,0,0,0
A-1292459,2,Light Rain,Day,15,9,3,80.33333333333333,0.0,81.0,8.0,0,0,0,0,0,0,0
A-1240615,3,Cloudy,Day,16,12,6,90.63333333333334,0.0,33.0,10.0,0,0,0,0,0,0,0
A-1252089,2,Mostly Cloudy,Day,13,11,2,46.63333333333333,0.0,52.0,8.0,0,0,0,0,0,0,0
A-1279876,3,Cloudy,Night,19,11,3,46.416666666666664,0.0,78.0,10.0,0,0,0,0,0,0,1
A-1264278,3,Fair,Day,16,11,0,29.283333333333335,1.2999999523162842,82.0,10.0,0,0,0,0,0,0,0
A-1213963,3,Haze,Night,19,12,0,44.583333333333336,0.0,50.0,6.0,0,0,0,0,0,0,0
A-1301883,3,Partly Cloudy,Day,6,9,3,73.31666666666666,0.0,52.0,10.0,0,0,0,0,0,0,0
A-1288625,2,Fair,Day,18,9,0,59.45,0.0,80.0,10.0,0,0,0,0,0,1,0
A-1247890,2,Light Rain,Night,17,11,6,29.633333333333333,0.0,54.0,4.0,0,0,0,0,0,0,0
A-1248047,3,Fair,Night,6,11,6,44.78333333333333,0.0,41.0,7.0,0,0,0,0,0,0,0
A-1210245,2,Mostly Cloudy,Night,22,12,2,59.55,0.0,45.0,10.0,0,0,0,0,0,0,0
A-1290513,2,Fair,Day,11,9,1,59.85,0.0,85.0,10.0,0,0,0,0,0,0,0
A-1279103,2,Mostly Cloudy,Night,17,11,4,127.08333333333333,0.0,56.0,10.0,0,0,1,0,0,0,1
A-1226113,2,Snow,Night,18,12,2,93.18333333333334,0.0,25.0,1.0,0,0,0,0,0,0,0
A-1249589,3,Cloudy,Day,9,11,3,80.58333333333333,0.699999988079071,63.0,10.0,0,0,0,0,0,0,0
A-1275128,3,Fair,Night,5,11,0,76.96666666666667,5.4099998474121085,63.0,10.0,0,0,0,0,0,0,0
A-1222731,2,Cloudy,Night,6,12,4,61.78333333333333,0.0,39.0,10.0,0,0,0,0,0,0,0
A-1248614,2,Fair,Day,14,11,5,104.2,0.0,73.0,10.0,0,0,0,1,0,0,0
A-1241351,2,Fair,Day,8,12,3,60.483333333333334,0.0,26.0,10.0,0,0,1,0,0,0,1
A-1244361,3,Partly Cloudy,Day,7,12,1,28.966666666666665,0.0,55.0,10.0,0,0,0,0,0,0,0
A-1229692,3,Cloudy,Night,18,12,0,44.766666666666666,0.0,32.0,10.0,0,0,0,0,0,0,0
A-1295757,2,Mostly Cloudy,Day,11,9,4,76.35,0.0,83.0,10.0,0,0,0,0,0,0,0
A-1238147,2,Cloudy,Night,7,12,1,69.86666666666666,0.0,29.0,4.0,0,0,0,0,0,0,0
A-1215495,3,Light Snow,Night,18,12,3,74.73333333333333,0.0,25.0,4.0,0,0,0,0,0,0,0
A-1245113,3,Fair,Day,11,12,1,51.35,0.0,46.0,10.0,0,0,0,0,0,0,0
A-1233389,3,Light Rain,Day,9,12,4,60.233333333333334,0.0,62.0,4.0,0,0,0,0,0,0,1
A-1235831,2,Mostly Cloudy,Day,13,12,2,51.56666666666667,7.090000152587893,43.0,7.0,0,0,0,0,0,0,0
A-1262823,2,Fair,Day,8,11,1,78.03333333333333,0.0,50.0,10.0,0,0,0,0,0,0,0
A-1233076,3,Fair,Day,7,12,4,59.516666666666666,0.0,44.0,10.0,0,0,0,0,0,0,0
A-1257112,2,Mostly Cloudy,Day,7,11,4,58.983333333333334,0.0,55.0,10.0,0,0,0,0,0,0,0
A-1253498,2,Mostly Cloudy,Day,15,11,1,81.03333333333333,0.0,61.0,10.0,0,0,0,0,0,0,0
A-1217563,2,Fair / Windy,Night,17,12,2,83.83333333333333,0.0,35.0,10.0,0,0,1,0,0,0,1
A-1251884,2,Mostly Cloudy,Night,20,11,2,134.08333333333334,0.0,39.0,10.0,0,0,0,0,0,0,0
A-1245056,2,Fair,Night,19,12,1,59.86666666666667,0.0,38.0,10.0,0,0,0,0,0,0,1
A-1220961,2,Fair,Day,16,12,0,46.31666666666667,0.0,60.0,10.0,0,0,0,0,0,0,0
A-1283698,2,Fair,Day,8,11,1,76.28333333333333,0.0,41.0,10.0,0,0,1,0,0,0,1
A-1255944,2,Mostly Cloudy,Day,11,11,6,99.91666666666667,0.0,81.0,10.0,0,0,0,0,0,0,0
A-1233649,2,Mostly Cloudy,Day,13,12,4,29.733333333333334,0.0,33.0,10.0,0,0,0,0,0,0,0
A-1309008,3,Fair,Day,16,9,1,78.81666666666666,0.0,78.0,10.0,0,0,0,0,0,0,0
A-1281053,2,Fair,Day,10,11,3,45.38333333333333,0.7099999785423279,83.0,10.0,0,0,0,0,0,0,0
A-1250395,2,Cloudy,Day,8,11,2,107.3,0.0,32.0,10.0,0,0,0,0,0,0,0
A-1303189,3,Cloudy,Night,5,9,3,29.633333333333333,0.0,81.0,10.0,0,0,0,0,0,0,0
A-1280866,2,Fair,Night,20,11,2,63.13333333333333,0.0,63.0,10.0,0,0,0,0,0,0,0
A-1272726,2,Cloudy,Day,12,11,1,44.55,0.0,65.0,10.0,0,0,1,0,0,0,1
A-1289756,2,Partly Cloudy,Night,7,9,1,72.83333333333333,0.0,75.0,10.0,0,0,0,0,0,0,1
A-1258596,2,Mostly Cloudy,Day,14,11,4,45.18333333333333,0.0,82.0,7.0,0,0,0,0,0,0,0
A-1240181,2,Fair,Day,7,12,0,76.38333333333334,0.0,46.0,10.0,0,0,0,0,0,0,0
A-1227586,3,Mostly Cloudy,Day,7,12,2,65.28333333333333,0.0,47.0,10.0,0,0,0,0,0,0,0
A-1216988,2,Cloudy,Night,18,12,2,61.666666666666664,0.0,56.0,10.0,0,0,0,0,0,0,0
A-1309502,2,Cloudy,Night,2,9,1,120.3,0.8899999856948853,61.0,10.0,0,0,0,0,0,0,0
A-1289363,2,Fair,Day,17,9,1,59.53333333333333,0.0,80.0,10.0,0,0,0,0,0,0,0
A-1249082,3,Light Drizzle,Day,15,11,4,29.65,0.0,,10.0,0,0,0,0,0,0,0
A-1239221,3,Mostly Cloudy,Night,17,12,0,59.983333333333334,0.0,30.0,10.0,0,0,0,0,0,0,0
A-1232113,2,Light Rain,Night,17,12,5,134.15,0.0,70.0,10.0,0,0,0,0,0,0,1
A-1303851,2,Fair,Night,6,9,4,85.65,0.0,52.0,10.0,0,0,0,0,0,0,0
A-1253949,2,Fair,Day,9,11,1,119.38333333333334,0.0,64.0,10.0,0,0,0,0,0,0,0
A-1243150,2,Fair,Day,8,12,2,44.13333333333333,0.0,59.0,10.0,0,0,0,0,0,0,0
A-1218297,2,Cloudy,Day,13,12,1,59.38333333333333,0.0,36.0,10.0,0,0,0,0,0,0,1
A-1266588,2,Fair,Day,13,11,5,48.36666666666667,0.0,68.0,10.0,0,0,0,0,0,0,0
A-1210430,3,Cloudy,Day,8,12,2,62.95,0.0,34.0,10.0,0,0,0,0,0,0,0
A-1243788,2,Rain,Day,8,12,2,29.366666666666667,0.0,63.0,2.0,0,0,0,0,0,1,0
A-1249477,2,Light Rain,Night,5,11,3,53.88333333333333,0.0,59.0,7.0,0,0,0,0,0,0,0
A-1289120,2,Fair,Night,2,9,0,29.866666666666667,0.0,77.0,10.0,0,0,0,0,0,1,0
A-1235511,2,Fair,Night,6,12,3,29.633333333333333,0.0,38.0,10.0,0,0,0,0,0,0,0
A-1230721,3,Mostly Cloudy,Day,15,12,0,81.2,0.0,38.0,10.0,0,0,0,0,0,0,0
A-1284475,2,Smoke,Day,16,11,1,86.18333333333334,0.0,77.0,4.0,0,0,0,0,0,0,0
A-1257113,2,Mostly Cloudy,Day,10,11,4,36.483333333333334,0.0,55.0,10.0,0,0,0,0,0,0,0
A-1251086,2,Fair,Night,5,11,2,58.766666666666666,0.0,43.0,10.0,0,0,0,0,0,0,0
A-1294524,2,Fair,Night,20,9,4,29.566666666666666,0.0,69.0,10.0,0,0,0,0,0,0,0
A-1247326,2,Fair,Day,16,11,0,29.833333333333332,0.0,72.0,10.0,0,0,1,0,0,0,1
A-1281009,2,Mostly Cloudy,Night,19,11,3,68.25,0.0,64.0,9.0,0,0,0,0,0,1,0
A-1224939,2,Cloudy,Day,7,12,3,58.88333333333333,0.0,37.0,10.0,0,0,0,0,0,0,0
A-1247122,3,Fair,Night,20,11,0,29.65,0.0,41.0,10.0,0,0,0,0,0,0,0
A-1254764,2,Fair,Day,12,11,0,119.41666666666667,0.0,61.0,10.0,0,0,0,0,0,0,0
A-1251003,2,Partly Cloudy,Day,16,11,2,43.85,0.0,78.0,10.0,0,0,0,0,0,0,0
A-1240168,2,Fair,Night,4,12,0,100.21666666666667,0.0,47.0,10.0,0,0,1,0,0,0,1
A-1213565,2,Mostly Cloudy,Day,8,12,0,46.1,0.0,48.0,10.0,0,0,0,0,0,0,0
A-1290668,3,Light Snow,Day,17,9,1,29.733333333333334,3.2699999809265137,33.0,1.0,0,0,0,0,0,0,0
A-1242315,2,Fair,Night,17,12,3,95.4,0.0,64.0,10.0,0,0,0,0,0,0,0
A-1232658,2,Fair,Night,5,12,4,48.7,0.0,42.0,10.0,0,0,0,0,0,0,0
A-1268901,3,Cloudy,Night,5,11,3,95.01666666666667,0.0,67.0,10.0,0,0,0,0,0,0,0
A-1246438,3,Mostly Cloudy,Day,7,11,0,111.05,0.0,67.0,10.0,0,0,0,0,0,0,0
A-1239455,2,Cloudy,Day,9,12,0,29.7,0.0,58.0,10.0,0,0,1,0,0,0,1
A-1287417,2,Fair,Night,4,10,5,64.41666666666667,0.0,46.0,7.0,0,0,0,1,0,0,0
A-1233400,3,Light Drizzle,Day,11,12,4,106.03333333333333,0.0,63.0,10.0,0,0,0,0,0,0,0
A-1227492,2,Fair,Day,11,12,2,184.73333333333332,0.0,40.0,10.0,0,0,0,0,0,0,1
A-1222682,2,Fog,Day,8,12,4,58.583333333333336,0.0,32.0,1.0,0,0,0,0,0,0,1
A-1290411,2,Fair,Day,16,9,1,60.916666666666664,1.870000004768372,91.0,10.0,0,0,0,0,0,0,0
A-1303388,3,Partly Cloudy,Day,11,9,3,44.75,0.0,64.0,4.0,0,0,0,1,0,0,0
A-1278245,2,Fair,Night,18,11,4,60.833333333333336,0.0,69.0,10.0,0,0,0,0,0,0,1
A-1280987,2,Fair,Night,18,11,3,78.43333333333334,0.0,59.0,10.0,0,0,0,0,0,0,0
A-1293813,3,Fair,Day,17,9,2,47.266666666666666,0.0,89.0,10.0,0,0,1,0,0,0,1
A-1286068,2,Fair,Day,6,11,0,107.4,0.0,52.0,9.0,0,0,1,0,0,0,1
A-1296159,3,Cloudy,Day,7,9,5,44.583333333333336,0.0,64.0,7.0,0,0,0,0,0,0,0
A-1285659,2,Fair,Day,14,11,0,45.36666666666667,0.0,67.0,10.0,0,0,0,0,0,0,0
A-1252423,2,Fair,Night,6,11,1,40.266666666666666,0.0,33.0,10.0,0,0,0,0,0,1,0
A-1299770,2,Cloudy,Day,11,9,1,44.71666666666667,0.0,82.0,10.0,0,0,0,0,0,0,1
A-1270599,3,Light Rain,Day,16,11,2,28.883333333333333,0.0,68.0,4.0,0,0,0,0,0,0,0
A-1287302,3,Fair,Night,6,10,5,110.36666666666666,0.0,48.0,13.0,0,0,0,0,0,0,0
A-1257155,2,Fair,Day,8,11,4,28.383333333333333,0.9499999880790708,46.0,10.0,0,0,0,0,0,0,0
A-1216560,2,Mostly Cloudy,Night,5,12,3,29.4,0.0,50.0,10.0,0,0,0,0,0,0,0
A-1285333,3,Fair,Night,19,11,0,83.66666666666667,1.7000000476837158,47.0,10.0,0,0,0,1,0,0,0
A-1287415,2,Fair,Night,2,10,5,193.98333333333332,0.0,50.0,10.0,1,0,1,0,0,0,1
A-1279260,2,Cloudy,Day,15,11,4,44.55,0.0,69.0,10.0,0,0,0,0,0,0,0
A-1259899,2,Fair,Day,10,11,3,65.18333333333334,0.0,74.0,10.0,0,0,0,0,0,0,0
A-1296328,2,Cloudy,Day,14,9,5,131.63333333333333,0.0,63.0,10.0,0,0,1,0,0,0,1
A-1283545,2,Fair,Day,17,11,1,119.66666666666667,0.0,61.0,10.0,0,0,0,0,0,0,0
A-1284508,2,Fair,Night,6,11,1,189.05,1.0199999809265137,55.0,10.0,0,0,0,0,0,0,0
A-1294002,2,Smoke,Night,6,9,3,29.716666666666665,0.0,59.0,5.0,0,0,0,1,0,0,0
A-1303069,3,Mostly Cloudy,Day,13,9,3,110.0,0.0,86.0,10.0,0,0,0,0,0,0,1
A-1233225,2,Light Rain,Day,16,12,4,45.75,0.0,42.0,9.0,0,0,0,0,0,0,0
A-1252393,2,Fair,Night,18,11,1,60.36666666666667,0.0,36.0,10.0,0,0,0,0,0,0,0
A-1275186,2,Partly Cloudy,Night,6,11,0,183.86666666666667,0.0,66.0,10.0,0,0,0,0,0,0,0
A-1228475,3,Fair,Day,11,12,1,103.75,0.0,46.0,10.0,0,0,0,0,0,0,0
A-1292270,2,Mostly Cloudy,Day,11,9,2,50.78333333333333,0.0,79.0,10.0,0,0,0,0,0,0,1
A-1255155,2,Cloudy,Night,6,11,0,108.0,0.0,50.0,10.0,0,0,0,0,0,0,0
A-1215990,2,Fair,Night,6,12,3,59.11666666666667,0.0,-2.0,10.0,0,0,0,0,0,0,0
A-1211127,2,Fair,Day,9,12,2,29.25,0.0,50.0,10.0,0,0,0,0,0,0,1
A-1263610,2,Light Rain,Day,14,11,1,63.2,0.0,56.0,2.0,0,0,0,0,0,0,0
A-1237571,2,Fair,Day,8,12,1,74.75,0.0,36.0,10.0,1,0,1,0,0,0,1
A-1219882,2,Fog,Day,7,12,0,40.05,0.0,33.0,2.0,0,0,0,0,0,0,1
A-1283787,3,Fair,Day,15,11,1,90.03333333333333,0.0,68.0,10.0,0,0,0,1,0,0,0
A-1246295,3,Light Rain,Day,13,11,0,31.016666666666666,0.0,38.0,10.0,0,0,0,1,0,0,0
A-1210535,3,Cloudy,Night,18,12,2,277.53333333333336,0.0,50.0,10.0,0,0,0,0,0,0,0
A-1269918,2,Fair,Night,19,11,3,97.71666666666667,0.0,52.0,4.0,0,0,0,0,0,0,0
A-1226448,2,Rain,Day,11,12,2,59.36666666666667,0.0,36.0,1.0,0,0,0,0,0,0,0
A-1297744,2,Cloudy,Day,14,9,0,29.683333333333334,0.0,83.0,10.0,0,0,1,0,0,0,0
A-1232257,2,Cloudy,Day,13,12,5,30.65,0.0,54.0,3.0,0,0,0,0,0,0,0
A-1262333,3,Fair,Night,17,11,1,44.516666666666666,0.0,43.0,10.0,0,0,0,0,0,0,0
A-1257463,2,Cloudy,Night,4,11,4,165.7,0.0,32.0,10.0,0,0,0,0,0,0,0
A-1213390,2,Mostly Cloudy,Day,9,12,0,64.5,0.0,68.0,10.0,0,0,0,0,0,0,1
A-1275139,2,Cloudy,Day,7,11,0,64.45,0.0,63.0,5.0,0,0,0,0,0,0,0
A-1255727,2,Mostly Cloudy,Day,11,11,0,76.23333333333333,0.0,62.0,10.0,0,0,0,1,0,0,0
A-1222853,3,Partly Cloudy,Night,5,12,4,29.45,0.0,55.0,10.0,0,0,0,0,0,0,0
A-1251843,2,Fair,Day,8,11,2,60.35,0.0,27.0,10.0,0,0,0,0,0,0,1
A-1304487,2,Cloudy,Day,16,9,4,65.25,0.0,73.0,10.0,0,0,0,0,0,0,0
A-1213851,3,Rain,Day,11,12,0,31.333333333333332,0.0,45.0,4.0,0,0,0,0,0,0,0
A-1268630,4,Cloudy,Day,11,11,3,43.93333333333333,0.0,53.0,10.0,0,0,0,0,0,0,0
A-1220836,2,Cloudy,Day,8,12,0,163.95,0.0,46.0,8.0,0,0,0,0,0,0,0
A-1250742,4,Light Rain,Day,12,11,2,74.73333333333333,1.3400000333786009,52.0,5.0,0,0,0,0,0,0,0
A-1308820,2,Cloudy,Night,6,9,1,29.55,0.0,64.0,10.0,0,0,0,0,0,0,0
A-1247807,3,Mostly Cloudy,Day,9,11,6,147.93333333333334,0.0,40.0,10.0,0,0,0,0,0,0,0
